# 015237c5-41e0-4713-9b4b-0ad6c4ee1343
# 216c0333e5fcb3f8600ca28e6aa7276b99a75135
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 15.0004777; 18.2523943; 1.8182866; 0.9900942; 2.0000000; 0.0000000
0.1993945; 14.8133099; 18.1866702; 1.9907394; 0.7507808; 2.0000000; 0.0000000
0.3987891; 14.6375782; 18.0934359; 2.1200150; 0.5575821; 2.0000000; 0.0000000
0.5981836; 14.4730423; 17.9809267; 2.2164868; 0.4180939; 2.0000000; 0.0000000
0.7975782; 14.3184186; 17.8549039; 2.2895135; 0.3195802; 2.0000000; 0.0000000
0.9969727; 14.1721784; 17.7191954; 2.3458567; 0.2488867; 2.0000000; 0.0000000
1.1963673; 14.0328911; 17.5763428; 2.3900865; 0.1970805; 2.0000000; 0.0000000
1.3957618; 13.8993385; 17.4280796; 2.4252576; 0.1565707; 2.0000000; 0.0000000
1.5951563; 13.7704849; 17.2756651; 2.4533187; 0.1276351; 2.0000000; 0.0000000
1.7945509; 13.6455469; 17.1199997; 2.4761394; 0.0948559; 2.0000000; 0.0000000
1.9939454; 13.5235894; 16.9619788; 2.4920737; 0.0894204; 2.0000000; 0.0000000
2.1933400; 13.4046600; 16.8018246; 2.5141377; 0.0848229; 2.0000000; 0.0000000
2.3927345; 13.2880911; 16.6401048; 2.5153178; -0.0273138; 2.0000000; 0.0000000
2.5921290; 13.1713744; 16.4785046; 2.5200468; 0.0524583; 2.0000000; 0.0000000
2.7915236; 13.0557290; 16.3161222; 2.5229372; -0.0160510; 2.0000000; 0.0000000
2.9909181; 12.9399630; 16.1538166; 2.5217972; 0.0038012; 2.0000000; 0.0000000
3.1903127; 12.8241808; 15.9915018; 2.5219763; -0.0020379; 2.0000000; 0.0000000
3.3897072; 12.7083510; 15.8291776; 2.5217082; -0.0005814; 2.0000000; 0.0000000
3.5891018; 12.5924976; 15.6668792; 2.5215688; -0.0009067; 2.0000000; 0.0000000
3.7884963; 12.4766202; 15.5046041; 2.5213951; -0.0007916; 2.0000000; 0.0000000
3.9878908; 12.3607192; 15.3423509; 2.5212455; -0.0007181; 2.0000000; 0.0000000
4.1872854; 12.2447964; 15.1801160; 2.5211118; -0.0006182; 2.0000000; 0.0000000
4.3866799; 12.1288569; 15.0178994; 2.5210052; -0.0004394; 2.0000000; 0.0000000
4.5860745; 12.0129056; 14.8556965; 2.5209349; -0.0002688; 2.0000000; 0.0000000
